Mês/Ano,Região Origem,Estado Origem,Região Destino,Estado Destino,Vendas de Biodiesel
12/2021,CENTRO OESTE,Goiás,CENTRO OESTE,Distrito Federal,1653
12/2021,CENTRO OESTE,Goiás,CENTRO OESTE,Goiás,63054
12/2021,CENTRO OESTE,Goiás,NORDESTE,Maranhão,6982
12/2021,CENTRO OESTE,Goiás,NORDESTE,Rio Grande do Norte,610
12/2021,CENTRO OESTE,Goiás,NORDESTE,Sergipe,309
12/2021,CENTRO OESTE,Goiás,NORTE,Pará,6935
12/2021,CENTRO OESTE,Goiás,SUDESTE,São Paulo,140
12/2021,CENTRO OESTE,Mato Grosso,CENTRO OESTE,Distrito Federal,21596
12/2021,CENTRO OESTE,Mato Grosso,CENTRO OESTE,Goiás,4008
12/2021,CENTRO OESTE,Mato Grosso,NORDESTE,Maranhão,3819
12/2021,CENTRO OESTE,Mato Grosso,NORDESTE,Pernambuco,467
12/2021,CENTRO OESTE,Mato Grosso,NORTE,Pará,38664
12/2021,CENTRO OESTE,Mato Grosso,SUDESTE,Minas Gerais,3651
12/2021,CENTRO OESTE,Mato Grosso,SUDESTE,São Paulo,7979
12/2021,CENTRO OESTE,Mato Grosso do Sul,CENTRO OESTE,Distrito Federal,477
12/2021,CENTRO OESTE,Mato Grosso do Sul,SUDESTE,Minas Gerais,9879
12/2021,CENTRO OESTE,Mato Grosso do Sul,SUDESTE,São Paulo,8289
12/2021,CENTRO OESTE,Mato Grosso do Sul,SUL,Santa Catarina,83
12/2021,NORDESTE,Bahia,CENTRO OESTE,Distrito Federal,622
12/2021,NORDESTE,Bahia,NORDESTE,Alagoas,2509
12/2021,NORDESTE,Bahia,NORDESTE,Maranhão,211
12/2021,NORDESTE,Bahia,NORDESTE,Rio Grande do Norte,3507
12/2021,NORDESTE,Bahia,NORDESTE,Sergipe,2785
12/2021,NORDESTE,Bahia,SUDESTE,Minas Gerais,1778
12/2021,NORDESTE,Bahia,SUDESTE,São Paulo,24826
12/2021,NORDESTE,Piauí,NORDESTE,Maranhão,99
12/2021,NORDESTE,Piauí,NORDESTE,Pernambuco,1637
12/2021,NORDESTE,Piauí,NORDESTE,Rio Grande do Norte,483
12/2021,NORDESTE,Piauí,NORTE,Pará,331
12/2021,NORDESTE,Piauí,SUDESTE,São Paulo,1208
12/2021,NORTE,Rondônia,NORTE,Pará,1463
12/2021,NORTE,Tocantins,CENTRO OESTE,Distrito Federal,6108
12/2021,NORTE,Tocantins,CENTRO OESTE,Goiás,113
12/2021,NORTE,Tocantins,NORDESTE,Maranhão,1877
12/2021,NORTE,Tocantins,NORDESTE,Pernambuco,171
12/2021,NORTE,Tocantins,NORTE,Pará,2993
12/2021,NORTE,Tocantins,SUDESTE,Minas Gerais,340
12/2021,NORTE,Tocantins,SUDESTE,São Paulo,607
12/2021,SUDESTE,Minas Gerais,SUDESTE,Minas Gerais,12219
12/2021,SUDESTE,Rio de Janeiro,SUDESTE,Espírito Santo,3197
12/2021,SUDESTE,Rio de Janeiro,SUDESTE,Minas Gerais,1749
12/2021,SUDESTE,Rio de Janeiro,SUDESTE,Rio de Janeiro,3409
12/2021,SUDESTE,Rio de Janeiro,SUDESTE,São Paulo,1656
12/2021,SUDESTE,São Paulo,CENTRO OESTE,Goiás,791
12/2021,SUDESTE,São Paulo,SUDESTE,Espírito Santo,281
12/2021,SUDESTE,São Paulo,SUDESTE,Minas Gerais,2381
12/2021,SUDESTE,São Paulo,SUDESTE,Rio de Janeiro,1039
12/2021,SUDESTE,São Paulo,SUDESTE,São Paulo,5648
12/2021,SUL,Paraná,CENTRO OESTE,Goiás,745
12/2021,SUL,Paraná,SUDESTE,Espírito Santo,7405
12/2021,SUL,Paraná,SUDESTE,Minas Gerais,12909
12/2021,SUL,Paraná,SUDESTE,Rio de Janeiro,9320
12/2021,SUL,Paraná,SUDESTE,São Paulo,41300
12/2021,SUL,Paraná,SUL,Paraná,28672
12/2021,SUL,Paraná,SUL,Rio Grande do Sul,701
12/2021,SUL,Paraná,SUL,Santa Catarina,4941
12/2021,SUL,Rio Grande do Sul,CENTRO OESTE,Goiás,56
12/2021,SUL,Rio Grande do Sul,SUDESTE,Espírito Santo,173
12/2021,SUL,Rio Grande do Sul,SUDESTE,Minas Gerais,1018
12/2021,SUL,Rio Grande do Sul,SUDESTE,Rio de Janeiro,2256
12/2021,SUL,Rio Grande do Sul,SUDESTE,São Paulo,46446
12/2021,SUL,Rio Grande do Sul,SUL,Paraná,45014
12/2021,SUL,Rio Grande do Sul,SUL,Rio Grande do Sul,39777
12/2021,SUL,Rio Grande do Sul,SUL,Santa Catarina,12458
12/2021,SUL,Santa Catarina,SUDESTE,Rio de Janeiro,342
12/2021,SUL,Santa Catarina,SUDESTE,São Paulo,1664
12/2021,SUL,Santa Catarina,SUL,Paraná,2013
12/2021,SUL,Santa Catarina,SUL,Rio Grande do Sul,41
12/2021,SUL,Santa Catarina,SUL,Santa Catarina,2995
11/2021,CENTRO OESTE,Goiás,CENTRO OESTE,Distrito Federal,2115
11/2021,CENTRO OESTE,Goiás,CENTRO OESTE,Goiás,59442
11/2021,CENTRO OESTE,Goiás,NORDESTE,Maranhão,6754
11/2021,CENTRO OESTE,Goiás,NORDESTE,Rio Grande do Norte,768
11/2021,CENTRO OESTE,Goiás,NORDESTE,Sergipe,530
11/2021,CENTRO OESTE,Goiás,NORTE,Pará,5662
11/2021,CENTRO OESTE,Goiás,SUDESTE,São Paulo,168
11/2021,CENTRO OESTE,Mato Grosso,CENTRO OESTE,Distrito Federal,41364
11/2021,CENTRO OESTE,Mato Grosso,CENTRO OESTE,Goiás,11236
11/2021,CENTRO OESTE,Mato Grosso,NORDESTE,Maranhão,3897
11/2021,CENTRO OESTE,Mato Grosso,NORDESTE,Pernambuco,614
11/2021,CENTRO OESTE,Mato Grosso,NORDESTE,Rio Grande do Norte,57
11/2021,CENTRO OESTE,Mato Grosso,NORTE,Pará,34169
11/2021,CENTRO OESTE,Mato Grosso,SUDESTE,Minas Gerais,7314
11/2021,CENTRO OESTE,Mato Grosso,SUDESTE,Rio de Janeiro,58
11/2021,CENTRO OESTE,Mato Grosso,SUDESTE,São Paulo,3332
11/2021,CENTRO OESTE,Mato Grosso do Sul,CENTRO OESTE,Distrito Federal,731
11/2021,CENTRO OESTE,Mato Grosso do Sul,SUDESTE,Minas Gerais,7040
11/2021,CENTRO OESTE,Mato Grosso do Sul,SUDESTE,São Paulo,6690
11/2021,NORDESTE,Bahia,NORDESTE,Alagoas,1984
11/2021,NORDESTE,Bahia,NORDESTE,Maranhão,157
11/2021,NORDESTE,Bahia,NORDESTE,Rio Grande do Norte,3592
11/2021,NORDESTE,Bahia,NORDESTE,Sergipe,1774
11/2021,NORDESTE,Bahia,SUDESTE,Minas Gerais,210
11/2021,NORDESTE,Bahia,SUDESTE,São Paulo,24002
11/2021,NORDESTE,Piauí,NORDESTE,Maranhão,218
11/2021,NORDESTE,Piauí,NORDESTE,Pernambuco,1177
11/2021,NORDESTE,Piauí,NORDESTE,Rio Grande do Norte,329
11/2021,NORDESTE,Piauí,SUDESTE,São Paulo,1342
11/2021,NORTE,Rondônia,NORTE,Pará,882
11/2021,NORTE,Tocantins,CENTRO OESTE,Distrito Federal,4094
11/2021,NORTE,Tocantins,NORDESTE,Maranhão,1770
11/2021,NORTE,Tocantins,NORDESTE,Pernambuco,421
11/2021,NORTE,Tocantins,NORTE,Pará,3045
11/2021,SUDESTE,Minas Gerais,SUDESTE,Minas Gerais,10524
11/2021,SUDESTE,Rio de Janeiro,NORTE,Tocantins,42
11/2021,SUDESTE,Rio de Janeiro,SUDESTE,Espírito Santo,2667
11/2021,SUDESTE,Rio de Janeiro,SUDESTE,Minas Gerais,919
11/2021,SUDESTE,Rio de Janeiro,SUDESTE,Rio de Janeiro,3315
11/2021,SUDESTE,Rio de Janeiro,SUDESTE,São Paulo,1396
11/2021,SUDESTE,São Paulo,SUDESTE,Espírito Santo,560
11/2021,SUDESTE,São Paulo,SUDESTE,Minas Gerais,2978
11/2021,SUDESTE,São Paulo,SUDESTE,Rio de Janeiro,532
11/2021,SUDESTE,São Paulo,SUDESTE,São Paulo,6501
11/2021,SUDESTE,São Paulo,SUL,Santa Catarina,0
11/2021,SUL,Paraná,CENTRO OESTE,Goiás,845
11/2021,SUL,Paraná,SUDESTE,Espírito Santo,5670
11/2021,SUL,Paraná,SUDESTE,Minas Gerais,16324
11/2021,SUL,Paraná,SUDESTE,Rio de Janeiro,9410
11/2021,SUL,Paraná,SUDESTE,São Paulo,43853
11/2021,SUL,Paraná,SUL,Paraná,25251
11/2021,SUL,Paraná,SUL,Rio Grande do Sul,625
11/2021,SUL,Paraná,SUL,Santa Catarina,2680
11/2021,SUL,Rio Grande do Sul,CENTRO OESTE,Goiás,139
11/2021,SUL,Rio Grande do Sul,SUDESTE,Espírito Santo,87
11/2021,SUL,Rio Grande do Sul,SUDESTE,Minas Gerais,1833
11/2021,SUL,Rio Grande do Sul,SUDESTE,Rio de Janeiro,545
11/2021,SUL,Rio Grande do Sul,SUDESTE,São Paulo,41671
11/2021,SUL,Rio Grande do Sul,SUL,Paraná,42289
11/2021,SUL,Rio Grande do Sul,SUL,Rio Grande do Sul,41727
11/2021,SUL,Rio Grande do Sul,SUL,Santa Catarina,14890
11/2021,SUL,Santa Catarina,SUDESTE,Rio de Janeiro,369
11/2021,SUL,Santa Catarina,SUDESTE,São Paulo,1143
11/2021,SUL,Santa Catarina,SUL,Paraná,674
11/2021,SUL,Santa Catarina,SUL,Santa Catarina,2917
10/2021,CENTRO OESTE,Goiás,CENTRO OESTE,Distrito Federal,3634
10/2021,CENTRO OESTE,Goiás,CENTRO OESTE,Goiás,83645
10/2021,CENTRO OESTE,Goiás,NORDESTE,Maranhão,8998
10/2021,CENTRO OESTE,Goiás,NORDESTE,Rio Grande do Norte,962
10/2021,CENTRO OESTE,Goiás,NORDESTE,Sergipe,387
10/2021,CENTRO OESTE,Goiás,NORTE,Pará,8327
10/2021,CENTRO OESTE,Goiás,SUDESTE,São Paulo,204
10/2021,CENTRO OESTE,Mato Grosso,CENTRO OESTE,Distrito Federal,31870
10/2021,CENTRO OESTE,Mato Grosso,CENTRO OESTE,Goiás,12782
10/2021,CENTRO OESTE,Mato Grosso,NORDESTE,Maranhão,6955
10/2021,CENTRO OESTE,Mato Grosso,NORDESTE,Pernambuco,755
10/2021,CENTRO OESTE,Mato Grosso,NORTE,Pará,44871
10/2021,CENTRO OESTE,Mato Grosso,SUDESTE,Minas Gerais,10603
10/2021,CENTRO OESTE,Mato Grosso,SUDESTE,São Paulo,426
10/2021,CENTRO OESTE,Mato Grosso do Sul,CENTRO OESTE,Distrito Federal,6259
10/2021,CENTRO OESTE,Mato Grosso do Sul,SUDESTE,Minas Gerais,13318
10/2021,CENTRO OESTE,Mato Grosso do Sul,SUDESTE,São Paulo,6072
10/2021,NORDESTE,Bahia,NORDESTE,Alagoas,1176
10/2021,NORDESTE,Bahia,NORDESTE,Rio Grande do Norte,3041
10/2021,NORDESTE,Bahia,NORDESTE,Sergipe,1798
10/2021,NORDESTE,Bahia,SUDESTE,São Paulo,35358
10/2021,NORDESTE,Piauí,NORDESTE,Pernambuco,2783
10/2021,NORDESTE,Piauí,NORDESTE,Rio Grande do Norte,356
10/2021,NORDESTE,Piauí,NORTE,Pará,141
10/2021,NORDESTE,Piauí,SUDESTE,São Paulo,1289
10/2021,NORTE,Rondônia,NORTE,Pará,949
10/2021,NORTE,Tocantins,CENTRO OESTE,Distrito Federal,7736
10/2021,NORTE,Tocantins,NORDESTE,Maranhão,3431
10/2021,NORTE,Tocantins,NORDESTE,Pernambuco,644
10/2021,NORTE,Tocantins,NORTE,Pará,4615
10/2021,NORTE,Tocantins,SUDESTE,São Paulo,674
10/2021,SUDESTE,Minas Gerais,SUDESTE,Minas Gerais,11324
10/2021,SUDESTE,Rio de Janeiro,SUDESTE,Espírito Santo,3698
10/2021,SUDESTE,Rio de Janeiro,SUDESTE,Minas Gerais,3204
10/2021,SUDESTE,Rio de Janeiro,SUDESTE,Rio de Janeiro,3609
10/2021,SUDESTE,Rio de Janeiro,SUDESTE,São Paulo,3334
10/2021,SUDESTE,São Paulo,CENTRO OESTE,Goiás,2570
10/2021,SUDESTE,São Paulo,NORDESTE,Pernambuco,55
10/2021,SUDESTE,São Paulo,SUDESTE,Espírito Santo,158
10/2021,SUDESTE,São Paulo,SUDESTE,Minas Gerais,6617
10/2021,SUDESTE,São Paulo,SUDESTE,Rio de Janeiro,178
10/2021,SUDESTE,São Paulo,SUDESTE,São Paulo,7764
10/2021,SUL,Paraná,CENTRO OESTE,Goiás,40
10/2021,SUL,Paraná,NÃO INFORMADA,Não Informado,12
10/2021,SUL,Paraná,SUDESTE,Espírito Santo,4799
10/2021,SUL,Paraná,SUDESTE,Minas Gerais,5616
10/2021,SUL,Paraná,SUDESTE,Rio de Janeiro,10689
10/2021,SUL,Paraná,SUDESTE,São Paulo,48931
10/2021,SUL,Paraná,SUL,Paraná,31498
10/2021,SUL,Paraná,SUL,Santa Catarina,3148
10/2021,SUL,Rio Grande do Sul,NÃO INFORMADA,Não Informado,9
10/2021,SUL,Rio Grande do Sul,SUDESTE,Espírito Santo,961
10/2021,SUL,Rio Grande do Sul,SUDESTE,Minas Gerais,2523
10/2021,SUL,Rio Grande do Sul,SUDESTE,Rio de Janeiro,1327
10/2021,SUL,Rio Grande do Sul,SUDESTE,São Paulo,57058
10/2021,SUL,Rio Grande do Sul,SUL,Paraná,46879
10/2021,SUL,Rio Grande do Sul,SUL,Rio Grande do Sul,46668
10/2021,SUL,Rio Grande do Sul,SUL,Santa Catarina,16823
10/2021,SUL,Santa Catarina,SUDESTE,Minas Gerais,954
10/2021,SUL,Santa Catarina,SUDESTE,Rio de Janeiro,114
10/2021,SUL,Santa Catarina,SUDESTE,São Paulo,1070
10/2021,SUL,Santa Catarina,SUL,Paraná,4267
10/2021,SUL,Santa Catarina,SUL,Rio Grande do Sul,327
10/2021,SUL,Santa Catarina,SUL,Santa Catarina,3476
09/2021,CENTRO OESTE,Goiás,CENTRO OESTE,Distrito Federal,4426
09/2021,CENTRO OESTE,Goiás,CENTRO OESTE,Goiás,73424
09/2021,CENTRO OESTE,Goiás,NORDESTE,Maranhão,8124
09/2021,CENTRO OESTE,Goiás,NORDESTE,Rio Grande do Norte,1317
09/2021,CENTRO OESTE,Goiás,NORDESTE,Sergipe,474
09/2021,CENTRO OESTE,Goiás,NORTE,Pará,9144
09/2021,CENTRO OESTE,Mato Grosso,CENTRO OESTE,Distrito Federal,36009
09/2021,CENTRO OESTE,Mato Grosso,CENTRO OESTE,Goiás,11662
09/2021,CENTRO OESTE,Mato Grosso,NORDESTE,Maranhão,2873
09/2021,CENTRO OESTE,Mato Grosso,NORDESTE,Pernambuco,591
09/2021,CENTRO OESTE,Mato Grosso,NORTE,Pará,37354
09/2021,CENTRO OESTE,Mato Grosso,SUDESTE,Minas Gerais,12773
09/2021,CENTRO OESTE,Mato Grosso,SUDESTE,São Paulo,2026
09/2021,CENTRO OESTE,Mato Grosso do Sul,CENTRO OESTE,Distrito Federal,6722
09/2021,CENTRO OESTE,Mato Grosso do Sul,NORDESTE,Ceará,55
09/2021,CENTRO OESTE,Mato Grosso do Sul,SUDESTE,Minas Gerais,3724
09/2021,CENTRO OESTE,Mato Grosso do Sul,SUDESTE,São Paulo,14333
09/2021,NORDESTE,Bahia,NORDESTE,Alagoas,1626
09/2021,NORDESTE,Bahia,NORDESTE,Rio Grande do Norte,3946
09/2021,NORDESTE,Bahia,NORDESTE,Sergipe,2584
09/2021,NORDESTE,Bahia,SUDESTE,São Paulo,34295
09/2021,NORDESTE,Piauí,CENTRO OESTE,Distrito Federal,42
09/2021,NORDESTE,Piauí,NORDESTE,Maranhão,159
09/2021,NORDESTE,Piauí,NORDESTE,Pernambuco,1826
09/2021,NORDESTE,Piauí,NORDESTE,Rio Grande do Norte,244
09/2021,NORDESTE,Piauí,NORTE,Pará,57
09/2021,NORDESTE,Piauí,SUDESTE,São Paulo,693
09/2021,NORTE,Rondônia,NORTE,Pará,876
09/2021,NORTE,Tocantins,CENTRO OESTE,Distrito Federal,6216
09/2021,NORTE,Tocantins,NORDESTE,Maranhão,2926
09/2021,NORTE,Tocantins,NORTE,Pará,3857
09/2021,NORTE,Tocantins,SUDESTE,São Paulo,599
09/2021,SUDESTE,Minas Gerais,SUDESTE,Minas Gerais,11874
09/2021,SUDESTE,Rio de Janeiro,SUDESTE,Espírito Santo,2383
09/2021,SUDESTE,Rio de Janeiro,SUDESTE,Minas Gerais,3254
09/2021,SUDESTE,Rio de Janeiro,SUDESTE,Rio de Janeiro,2937
09/2021,SUDESTE,Rio de Janeiro,SUDESTE,São Paulo,3121
09/2021,SUDESTE,São Paulo,CENTRO OESTE,Goiás,2126
09/2021,SUDESTE,São Paulo,SUDESTE,Espírito Santo,254
09/2021,SUDESTE,São Paulo,SUDESTE,Minas Gerais,8705
09/2021,SUDESTE,São Paulo,SUDESTE,Rio de Janeiro,225
09/2021,SUDESTE,São Paulo,SUDESTE,São Paulo,9100
09/2021,SUL,Paraná,NÃO INFORMADA,Não Informado,19
09/2021,SUL,Paraná,SUDESTE,Espírito Santo,3375
09/2021,SUL,Paraná,SUDESTE,Minas Gerais,9197
09/2021,SUL,Paraná,SUDESTE,Rio de Janeiro,11700
09/2021,SUL,Paraná,SUDESTE,São Paulo,48378
09/2021,SUL,Paraná,SUL,Paraná,27768
09/2021,SUL,Paraná,SUL,Rio Grande do Sul,931
09/2021,SUL,Paraná,SUL,Santa Catarina,3061
09/2021,SUL,Rio Grande do Sul,SUDESTE,Espírito Santo,946
09/2021,SUL,Rio Grande do Sul,SUDESTE,Minas Gerais,1255
09/2021,SUL,Rio Grande do Sul,SUDESTE,Rio de Janeiro,290
09/2021,SUL,Rio Grande do Sul,SUDESTE,São Paulo,56742
09/2021,SUL,Rio Grande do Sul,SUL,Paraná,47717
09/2021,SUL,Rio Grande do Sul,SUL,Rio Grande do Sul,44340
09/2021,SUL,Rio Grande do Sul,SUL,Santa Catarina,16064
09/2021,SUL,Santa Catarina,SUDESTE,Minas Gerais,170
09/2021,SUL,Santa Catarina,SUDESTE,Rio de Janeiro,372
09/2021,SUL,Santa Catarina,SUDESTE,São Paulo,1100
09/2021,SUL,Santa Catarina,SUL,Paraná,2854
09/2021,SUL,Santa Catarina,SUL,Rio Grande do Sul,426
09/2021,SUL,Santa Catarina,SUL,Santa Catarina,3407
08/2021,CENTRO OESTE,Goiás,CENTRO OESTE,Distrito Federal,2911
08/2021,CENTRO OESTE,Goiás,CENTRO OESTE,Goiás,46485
08/2021,CENTRO OESTE,Goiás,NORDESTE,Ceará,1776
08/2021,CENTRO OESTE,Goiás,NORDESTE,Maranhão,8891
08/2021,CENTRO OESTE,Goiás,NORDESTE,Pernambuco,2405
08/2021,CENTRO OESTE,Goiás,NORDESTE,Rio Grande do Norte,903
08/2021,CENTRO OESTE,Goiás,NORDESTE,Sergipe,291
08/2021,CENTRO OESTE,Goiás,NORTE,Pará,4212
08/2021,CENTRO OESTE,Goiás,SUDESTE,Espírito Santo,229
08/2021,CENTRO OESTE,Goiás,SUDESTE,Minas Gerais,25005
08/2021,CENTRO OESTE,Goiás,SUDESTE,São Paulo,57
08/2021,CENTRO OESTE,Goiás,SUL,Paraná,39
08/2021,CENTRO OESTE,Mato Grosso,CENTRO OESTE,Distrito Federal,38567
08/2021,CENTRO OESTE,Mato Grosso,CENTRO OESTE,Goiás,13639
08/2021,CENTRO OESTE,Mato Grosso,NORDESTE,Ceará,2211
08/2021,CENTRO OESTE,Mato Grosso,NORDESTE,Maranhão,4371
08/2021,CENTRO OESTE,Mato Grosso,NORDESTE,Pernambuco,3554
08/2021,CENTRO OESTE,Mato Grosso,NORDESTE,Rio Grande do Norte,453
08/2021,CENTRO OESTE,Mato Grosso,NORTE,Pará,31446
08/2021,CENTRO OESTE,Mato Grosso,SUDESTE,Minas Gerais,10496
08/2021,CENTRO OESTE,Mato Grosso,SUDESTE,São Paulo,3575
08/2021,CENTRO OESTE,Mato Grosso do Sul,CENTRO OESTE,Distrito Federal,4320
08/2021,CENTRO OESTE,Mato Grosso do Sul,SUDESTE,Minas Gerais,9507
08/2021,CENTRO OESTE,Mato Grosso do Sul,SUDESTE,São Paulo,12056
08/2021,NORDESTE,Bahia,NORDESTE,Alagoas,1546
08/2021,NORDESTE,Bahia,NORDESTE,Ceará,1816
08/2021,NORDESTE,Bahia,NORDESTE,Pernambuco,7243
08/2021,NORDESTE,Bahia,NORDESTE,Rio Grande do Norte,2695
08/2021,NORDESTE,Bahia,NORDESTE,Sergipe,1972
08/2021,NORDESTE,Bahia,SUDESTE,São Paulo,12576
08/2021,NORDESTE,Piauí,NORDESTE,Ceará,43
08/2021,NORDESTE,Piauí,NORDESTE,Maranhão,114
08/2021,NORDESTE,Piauí,NORDESTE,Pernambuco,1239
08/2021,NORDESTE,Piauí,NORDESTE,Rio Grande do Norte,45
08/2021,NORTE,Tocantins,CENTRO OESTE,Distrito Federal,3718
08/2021,NORTE,Tocantins,NORDESTE,Ceará,2013
08/2021,NORTE,Tocantins,NORDESTE,Maranhão,1566
08/2021,NORTE,Tocantins,NORDESTE,Pernambuco,223
08/2021,NORTE,Tocantins,NORTE,Pará,5007
08/2021,NORTE,Tocantins,SUDESTE,São Paulo,1629
08/2021,SUDESTE,Rio de Janeiro,NORDESTE,Ceará,80
08/2021,SUDESTE,Rio de Janeiro,NORDESTE,Pernambuco,86
08/2021,SUDESTE,Rio de Janeiro,NORDESTE,Rio Grande do Norte,63
08/2021,SUDESTE,Rio de Janeiro,SUDESTE,Espírito Santo,3642
08/2021,SUDESTE,Rio de Janeiro,SUDESTE,Minas Gerais,3200
08/2021,SUDESTE,Rio de Janeiro,SUDESTE,Rio de Janeiro,2010
08/2021,SUDESTE,Rio de Janeiro,SUDESTE,São Paulo,2527
08/2021,SUDESTE,São Paulo,NORDESTE,Maranhão,110
08/2021,SUDESTE,São Paulo,NORDESTE,Pernambuco,310
08/2021,SUDESTE,São Paulo,SUDESTE,Espírito Santo,43
08/2021,SUDESTE,São Paulo,SUDESTE,Minas Gerais,3243
08/2021,SUDESTE,São Paulo,SUDESTE,Rio de Janeiro,129
08/2021,SUDESTE,São Paulo,SUDESTE,São Paulo,9737
08/2021,SUL,Paraná,SUDESTE,Espírito Santo,4023
08/2021,SUL,Paraná,SUDESTE,Minas Gerais,5077
08/2021,SUL,Paraná,SUDESTE,Rio de Janeiro,12943
08/2021,SUL,Paraná,SUDESTE,São Paulo,63362
08/2021,SUL,Paraná,SUL,Paraná,24281
08/2021,SUL,Paraná,SUL,Rio Grande do Sul,286
08/2021,SUL,Paraná,SUL,Santa Catarina,2298
08/2021,SUL,Rio Grande do Sul,CENTRO OESTE,Goiás,154
08/2021,SUL,Rio Grande do Sul,SUDESTE,Espírito Santo,1375
08/2021,SUL,Rio Grande do Sul,SUDESTE,Minas Gerais,385
08/2021,SUL,Rio Grande do Sul,SUDESTE,Rio de Janeiro,1561
08/2021,SUL,Rio Grande do Sul,SUDESTE,São Paulo,34065
08/2021,SUL,Rio Grande do Sul,SUL,Paraná,49419
08/2021,SUL,Rio Grande do Sul,SUL,Rio Grande do Sul,42257
08/2021,SUL,Rio Grande do Sul,SUL,Santa Catarina,17568
08/2021,SUL,Santa Catarina,SUDESTE,Rio de Janeiro,345
08/2021,SUL,Santa Catarina,SUDESTE,São Paulo,1910
08/2021,SUL,Santa Catarina,SUL,Paraná,702
08/2021,SUL,Santa Catarina,SUL,Santa Catarina,1029
07/2021,CENTRO OESTE,Goiás,CENTRO OESTE,Distrito Federal,1908
07/2021,CENTRO OESTE,Goiás,CENTRO OESTE,Goiás,26966
07/2021,CENTRO OESTE,Goiás,NORDESTE,Alagoas,56
07/2021,CENTRO OESTE,Goiás,NORDESTE,Bahia,19237
07/2021,CENTRO OESTE,Goiás,NORDESTE,Ceará,2417
07/2021,CENTRO OESTE,Goiás,NORDESTE,Maranhão,9066
07/2021,CENTRO OESTE,Goiás,NORDESTE,Paraíba,725
07/2021,CENTRO OESTE,Goiás,NORDESTE,Pernambuco,2236
07/2021,CENTRO OESTE,Goiás,NORDESTE,Rio Grande do Norte,849
07/2021,CENTRO OESTE,Goiás,NORTE,Pará,4967
07/2021,CENTRO OESTE,Goiás,SUDESTE,Minas Gerais,24477
07/2021,CENTRO OESTE,Goiás,SUDESTE,São Paulo,229
07/2021,CENTRO OESTE,Goiás,SUL,Paraná,39
07/2021,CENTRO OESTE,Mato Grosso,CENTRO OESTE,Distrito Federal,38496
07/2021,CENTRO OESTE,Mato Grosso,CENTRO OESTE,Goiás,12201
07/2021,CENTRO OESTE,Mato Grosso,NORDESTE,Bahia,856
07/2021,CENTRO OESTE,Mato Grosso,NORDESTE,Ceará,2011
07/2021,CENTRO OESTE,Mato Grosso,NORDESTE,Maranhão,5067
07/2021,CENTRO OESTE,Mato Grosso,NORDESTE,Pernambuco,4998
07/2021,CENTRO OESTE,Mato Grosso,NORDESTE,Rio Grande do Norte,110
07/2021,CENTRO OESTE,Mato Grosso,NORTE,Pará,35806
07/2021,CENTRO OESTE,Mato Grosso,SUDESTE,Minas Gerais,10692
07/2021,CENTRO OESTE,Mato Grosso,SUDESTE,São Paulo,2935
07/2021,CENTRO OESTE,Mato Grosso do Sul,CENTRO OESTE,Distrito Federal,4457
07/2021,CENTRO OESTE,Mato Grosso do Sul,CENTRO OESTE,Goiás,444
07/2021,CENTRO OESTE,Mato Grosso do Sul,SUDESTE,Minas Gerais,11171
07/2021,CENTRO OESTE,Mato Grosso do Sul,SUDESTE,São Paulo,7399
07/2021,CENTRO OESTE,Mato Grosso do Sul,SUL,Paraná,638
07/2021,NORDESTE,Bahia,NORDESTE,Alagoas,1019
07/2021,NORDESTE,Bahia,NORDESTE,Bahia,11606
07/2021,NORDESTE,Bahia,NORDESTE,Ceará,1370
07/2021,NORDESTE,Bahia,NORDESTE,Paraíba,860
07/2021,NORDESTE,Bahia,NORDESTE,Pernambuco,6634
07/2021,NORDESTE,Bahia,NORDESTE,Rio Grande do Norte,3590
07/2021,NORDESTE,Bahia,SUDESTE,Minas Gerais,309
07/2021,NORDESTE,Piauí,NORDESTE,Ceará,113
07/2021,NORDESTE,Piauí,NORDESTE,Maranhão,214
07/2021,NORDESTE,Piauí,NORDESTE,Pernambuco,1247
07/2021,NORDESTE,Piauí,NORTE,Pará,113
07/2021,NORTE,Tocantins,CENTRO OESTE,Distrito Federal,2870
07/2021,NORTE,Tocantins,NORDESTE,Bahia,1118
07/2021,NORTE,Tocantins,NORDESTE,Ceará,2485
07/2021,NORTE,Tocantins,NORDESTE,Maranhão,169
07/2021,NORTE,Tocantins,NORDESTE,Pernambuco,532
07/2021,NORTE,Tocantins,NORTE,Pará,4841
07/2021,SUDESTE,Rio de Janeiro,NORDESTE,Bahia,1416
07/2021,SUDESTE,Rio de Janeiro,NORDESTE,Ceará,89
07/2021,SUDESTE,Rio de Janeiro,NORDESTE,Paraíba,20
07/2021,SUDESTE,Rio de Janeiro,NORDESTE,Pernambuco,61
07/2021,SUDESTE,Rio de Janeiro,NORDESTE,Rio Grande do Norte,101
07/2021,SUDESTE,Rio de Janeiro,SUDESTE,Espírito Santo,3126
07/2021,SUDESTE,Rio de Janeiro,SUDESTE,Minas Gerais,2739
07/2021,SUDESTE,Rio de Janeiro,SUDESTE,Rio de Janeiro,1834
07/2021,SUDESTE,Rio de Janeiro,SUDESTE,São Paulo,750
07/2021,SUDESTE,São Paulo,NORDESTE,Bahia,956
07/2021,SUDESTE,São Paulo,NORDESTE,Maranhão,57
07/2021,SUDESTE,São Paulo,NORDESTE,Paraíba,55
